Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-01,2022,01,0.210059471,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-03,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-04,2022,01,0.244235813,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-05,2022,01,12.00680268,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-06,2022,01,11.31302566,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-07,2022,01,0.751784027,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-08,2022,01,9.713524044,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-09,2022,01,2.684404625,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-10,2022,01,0.074901997,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-11,2022,01,0.000001507,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-12,2022,01,0.000239239,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-13,2022,01,0.004966755,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-14,2022,01,0.006762743,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-15,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-21,2022,01,0.02448584,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-22,2022,01,1.293155187,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-23,2022,01,1.836573255,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-24,2022,01,0.108502093,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-16,2022,01,0.012787424,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-17,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-18,2022,01,8.92908E-05,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-19,2022,01,0.081216025,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-20,2022,01,0.088718338,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-25,2022,01,0.000289348,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-26,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-27,2022,01,0.000001507,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-28,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-29,2022,01,0,NRSC VIC MODEL
Area of Inland drainage in Rajasthan Basin,Area of Inland drainage in Rajasthan,2022-01-30,2022,01,3.01404E-05,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-01,2022,01,0.024103141,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-04,2022,01,0.000987546,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-05,2022,01,0.001164172,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-06,2022,01,0.079356907,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-07,2022,01,0.000772862,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-08,2022,01,0.007745208,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-10,2022,01,0.028979392,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-03,2022,01,0.001192471,NRSC VIC MODEL
